"County","SiteName","Grade","# Documentation Required (Adjusted Enrollment)","# Vaccinated DTaP/Tdap","% Vaccinated DTaP/Tdap","# Vaccinated Polio","% Vaccinated Polio","# Vaccinated Varicella","% Vaccinated Varicella","# Vaccinated MMR1","% Vaccinated Mumps/Rubella","# Vaccinated Measles","% Vaccinated Measles","# Vaccinated HepB","% Vaccinated HepB","# Requiring HepA","# Vaccinated HepA","% Vaccinated HepA","# with all vaccines required","% with all vaccines required","# Nonmedical Exemptions Any Vaccines","% Nonmedical Exemptions Any Vaccines","# Exemption DTaP/Tdap","% Exemption DTaP/Tdap","# Exemption Polio","% Exemption Polio","# Exemption Varicella","% Exemption Varicella","# Exemption Measles","% Exemption Measles","# Exemption Mumps","% Exemption Mumps","# Exemption Rubella","% Exemption Rubella","# Exemption HepB","% Exemption HepB","# Exemption HepA","% Exemption HepA","# Nonmedical Exemptions All Vaccines","% Nonmedical Exemptions All Vaccines","# No Record","% No Record","# w/ Medical Exemption(s)","% w/ Medical Exemption(s)","# Not Counted","site","lon","lat"
"Morrow","Ione Community School","FULL SCHOOL GRADES K-12","188",180,0.957446808510638,182,0.968085106382979,185,0.984042553191489,185,0.984042553191489,181,0.962765957446808,184,0.978723404255319,"158",148,0.936708860759494,178,0.946808510638298,7,0.0372340425531915,3,0.0159574468085106,4,0.0212765957446809,3,0.0159574468085106,5,0.0265957446808511,3,0.0159574468085106,3,0.0159574468085106,3,0.0159574468085106,5,0.0316455696202532,2,0.0106382978723404,0,0,1,0.00531914893617021,0,"Ione Community School, Morrow County, OR",-119.8286374,45.4988694
"Morrow","Irrigon Elementary","FULL SCHOOL GRADES K-12","217",216,0.995391705069124,216,0.995391705069124,214,0.986175115207373,216,0.995391705069124,216,0.995391705069124,214,0.986175115207373,"217",214,0.986175115207373,214,0.986175115207373,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,1,0.00460829493087558,0,0,2,0.00921658986175115,0,"Irrigon Elementary, Morrow County, OR",-119.4962431,45.8861427
"Morrow","IRRIGON JUNIOR-SENIOR HIGH SCHOOL","FULL SCHOOL GRADES K-12","368",365,0.991847826086957,365,0.991847826086957,365,0.991847826086957,365,0.991847826086957,365,0.991847826086957,365,0.991847826086957,"250",248,0.992,365,0.991847826086957,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.00543478260869565,2,0.008,2,0.00543478260869565,0,0,1,0.00271739130434783,0,"IRRIGON JUNIOR-SENIOR HIGH SCHOOL, Morrow County, OR",-119.4986188,45.8877053
"Morrow","MORROW EDUCATION CENTER","FULL SCHOOL GRADES K-12","52",51,0.980769230769231,51,0.980769230769231,52,1,52,1,52,1,52,1,"52",50,0.961538461538462,50,0.961538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MORROW EDUCATION CENTER, Morrow County, OR",-119.5081916,45.8957436
"Morrow","Riverside Junior Senior High School","FULL SCHOOL GRADES K-12","431",430,0.997679814385151,428,0.993039443155452,431,1,431,1,431,1,428,0.993039443155452,"309",301,0.97411003236246,422,0.979118329466357,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00232018561484919,1,0.00323624595469256,1,0.00232018561484919,0,0,1,0.00232018561484919,0,"Riverside Junior Senior High School, Morrow County, OR",-119.6985607,45.841289
"Morrow","Sam Boardman Elementary","FULL SCHOOL GRADES K-12","336",330,0.982142857142857,331,0.985119047619048,334,0.994047619047619,333,0.991071428571429,333,0.991071428571429,330,0.982142857142857,"336",323,0.961309523809524,322,0.958333333333333,3,0.00892857142857143,3,0.00892857142857143,3,0.00892857142857143,2,0.00595238095238095,3,0.00892857142857143,3,0.00892857142857143,3,0.00892857142857143,3,0.00892857142857143,3,0.00892857142857143,2,0.00595238095238095,0,0,0,0,0,"Sam Boardman Elementary, Morrow County, OR",-119.7068344,45.8267997
"Morrow","Windy River Elementary","FULL SCHOOL GRADES K-12","292",287,0.982876712328767,287,0.982876712328767,291,0.996575342465753,291,0.996575342465753,290,0.993150684931507,288,0.986301369863014,"292",283,0.969178082191781,283,0.969178082191781,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,1,0.00342465753424658,0,0,1,0.00342465753424658,0,"Windy River Elementary, Morrow County, OR",-119.7038319,45.8270072
"Multnomah","Abernethy ES","FULL SCHOOL GRADES K-12","517",491,0.949709864603482,488,0.943907156673114,489,0.945841392649903,498,0.963249516441006,490,0.947775628626692,477,0.922630560928433,"517",484,0.936170212765957,469,0.90715667311412,46,0.0889748549323017,26,0.0502901353965184,28,0.0541586073500967,28,0.0541586073500967,27,0.0522243713733075,19,0.0367504835589942,19,0.0367504835589942,40,0.0773694390715667,31,0.0599613152804642,16,0.0309477756286267,0,0,0,0,2,"Abernethy ES, Multnomah County, OR",-122.651525,45.50576
"Multnomah","Access","FULL SCHOOL GRADES K-12","293",288,0.982935153583618,284,0.969283276450512,287,0.979522184300341,291,0.993174061433447,287,0.979522184300341,281,0.959044368600683,"293",282,0.962457337883959,277,0.945392491467577,16,0.0546075085324232,5,0.0170648464163823,9,0.0307167235494881,6,0.0204778156996587,6,0.0204778156996587,2,0.0068259385665529,2,0.0068259385665529,12,0.0409556313993174,11,0.037542662116041,1,0.00341296928327645,0,0,0,0,0,"Access, Multnomah County, OR",-122.5863211,45.5145659
"Multnomah","Ainsworth ES","FULL SCHOOL GRADES K-12","624",606,0.971153846153846,602,0.96474358974359,606,0.971153846153846,606,0.971153846153846,600,0.961538461538462,589,0.943910256410256,"624",596,0.955128205128205,573,0.918269230769231,37,0.0592948717948718,16,0.0256410256410256,21,0.0336538461538462,17,0.0272435897435897,23,0.0368589743589744,16,0.0256410256410256,16,0.0256410256410256,31,0.0496794871794872,21,0.0336538461538462,10,0.016025641025641,0,0,1,0.0016025641025641,2,"Ainsworth ES, Multnomah County, OR",-122.7000586,45.509952
"Multnomah","Alameda ES","FULL SCHOOL GRADES K-12","732",700,0.956284153005464,690,0.942622950819672,699,0.954918032786885,706,0.96448087431694,694,0.948087431693989,672,0.918032786885246,"732",681,0.930327868852459,662,0.904371584699454,54,0.0737704918032787,27,0.0368852459016393,38,0.0519125683060109,29,0.0396174863387978,33,0.0450819672131148,22,0.0300546448087432,22,0.0300546448087432,50,0.0683060109289618,39,0.0532786885245902,19,0.0259562841530055,4,0.00546448087431694,0,0,2,"Alameda ES, Multnomah County, OR",-122.6377152,45.5494065
"Multnomah","Alder ES","FULL SCHOOL GRADES K-12","472",444,0.940677966101695,448,0.949152542372881,458,0.970338983050847,458,0.970338983050847,448,0.949152542372881,456,0.966101694915254,"472",448,0.949152542372881,435,0.921610169491525,11,0.0233050847457627,11,0.0233050847457627,10,0.0211864406779661,8,0.0169491525423729,10,0.0211864406779661,8,0.0169491525423729,8,0.0169491525423729,8,0.0169491525423729,9,0.0190677966101695,7,0.0148305084745763,6,0.0127118644067797,0,0,0,"Alder ES, Multnomah County, OR",-122.4862406,45.5171597
"Multnomah","Alice Ott MS","FULL SCHOOL GRADES K-12","738",698,0.94579945799458,710,0.962059620596206,721,0.976964769647697,724,0.981029810298103,714,0.967479674796748,720,0.975609756097561,"738",704,0.953929539295393,689,0.93360433604336,38,0.0514905149051491,36,0.0487804878048781,26,0.035230352303523,16,0.021680216802168,24,0.032520325203252,14,0.018970189701897,14,0.018970189701897,17,0.0230352303523035,25,0.0338753387533875,13,0.0176151761517615,0,0,0,0,95,"Alice Ott MS, Multnomah County, OR",-122.5347772,45.4793068
"Multnomah","ALL SAINTS SCHOOL","FULL SCHOOL GRADES K-12","481",475,0.987525987525988,476,0.98960498960499,476,0.98960498960499,475,0.987525987525988,475,0.987525987525988,475,0.987525987525988,"481",475,0.987525987525988,475,0.987525987525988,6,0.0124740124740125,4,0.00831600831600832,5,0.0103950103950104,5,0.0103950103950104,6,0.0124740124740125,6,0.0124740124740125,6,0.0124740124740125,6,0.0124740124740125,6,0.0124740124740125,4,0.00831600831600832,0,0,0,0,0,"ALL SAINTS SCHOOL, Multnomah County, OR",-122.6235088,45.5274674
"Multnomah","Alliance HS @ Benson Campus","FULL SCHOOL GRADES K-12","85",72,0.847058823529412,76,0.894117647058824,76,0.894117647058824,76,0.894117647058824,76,0.894117647058824,75,0.882352941176471,"<10",NA,NA,72,0.847058823529412,5,0.0588235294117647,4,0.0470588235294118,2,0.0235294117647059,1,0.0117647058823529,2,0.0235294117647059,2,0.0235294117647059,2,0.0235294117647059,3,0.0352941176470588,NA,NA,0,0,7,0.0823529411764706,0,0,22,"Alliance HS @ Benson Campus, Multnomah County, OR",-122.6221241,45.558487
"Multnomah","Alliance HS at Meek","FULL SCHOOL GRADES K-12","96",90,0.9375,93,0.96875,93,0.96875,93,0.96875,93,0.96875,93,0.96875,"18",18,1,90,0.9375,4,0.0416666666666667,4,0.0416666666666667,2,0.0208333333333333,2,0.0208333333333333,2,0.0208333333333333,2,0.0208333333333333,2,0.0208333333333333,2,0.0208333333333333,0,0,2,0.0208333333333333,1,0.0104166666666667,0,0,0,"Alliance HS at Meek, Multnomah County, OR",-122.6221241,45.558487
"Multnomah","APOSTOLIC CHRISTIAN ACADEMY","FULL SCHOOL GRADES K-12","17",16,0.941176470588235,16,0.941176470588235,16,0.941176470588235,16,0.941176470588235,16,0.941176470588235,16,0.941176470588235,"14",13,0.928571428571429,16,0.941176470588235,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0588235294117647,1,0.0714285714285714,1,0.0588235294117647,0,0,0,0,0,"APOSTOLIC CHRISTIAN ACADEMY, Multnomah County, OR",-122.5863211,45.5145659
"Multnomah","Arata Creek","FULL SCHOOL GRADES K-12","49",49,1,49,1,49,1,49,1,49,1,49,1,"43",43,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arata Creek, Multnomah County, OR",-122.4127917,45.547744
"Multnomah","Arleta K-8","FULL SCHOOL GRADES K-12","477",453,0.949685534591195,442,0.926624737945493,451,0.945492662473795,457,0.958071278825996,447,0.937106918238994,444,0.930817610062893,"477",450,0.943396226415094,431,0.90356394129979,42,0.0880503144654088,23,0.0482180293501048,33,0.0691823899371069,26,0.0545073375262055,29,0.0607966457023061,20,0.0419287211740042,20,0.0419287211740042,32,0.0670859538784067,25,0.0524109014675052,16,0.0335429769392034,0,0,0,0,0,"Arleta K-8, Multnomah County, OR",-122.5963336,45.485976
