"lon","lat","site"
-118.2048905,48.8679061,"PO BOX 1419, ORIENT, WA"
-120.2281346,47.6233217,"PO BOX 71, ORONDO, WA"
-124.1990522,47.2096497,"P.O. BOX H, PACIFIC BEACH, WA"
-121.9893799,47.8502259,"PARK PLACE MIDDLE SCHOOL, MONROE, WA"
-122.8475441,46.8623012,"PO BOX 4024, TENINO, WA"
-119.9034008,48.0509756,"P.O. BOX 98, PATEROS, WA"
-119.9034008,48.0509756,"P O BOX 98, PATEROS, WA"
-119.610354,45.938531,"51409 W. PRIOR RD., PATERSON, WA"
-123.2973663,46.5703798,"PO BOX 368, PE ELL, WA"
-120.6039743,47.5706779,"P O BOX 373, PESHASTIN, WA"
-122.160869,48.072704,"5115 84TH AVE NE, MARYSVILLE, WA"
-117.5968123,46.4728634,"121 S. 10TH ST, POMEROY, WA"
-118.3149677,46.2995837,"PO BOX 65, PRESCOTT, WA"
-124.3549522,47.5526781,"146000 HWY 101, FORKS, WA"
-122.8757198,47.8223137,"PO BOX 40, QUILCENE, WA"
-122.6884595,46.888155,"PO BOX 98, RAINIER, WA"
-117.8761671,47.6674713,"PO BOX 225, REARDAN, WA"
-119.6305912,46.9009701,"PO BOX 486, ROYAL CITY, WA"
-122.0350026,47.6470911,"4000 228TH NE, SAMMAMISH, WA"
-123.0755296,46.8280636,"P.O. BOX 398, ROCHESTER, WA"
-122.0399815,47.3871765,"25700 MAPLE VALLEY HWY SE, MAPLE VALLEY, WA"
-118.585478,47.2318749,"2194 N SCHOONOVER RD, ODESSA, WA"
-120.2158771,45.742907,"P.O. BOX 248, ROOSEVELT, WA"
-119.1607421,46.2835893,"6010 ROAD 52, PASCO, WA"
-119.6277047,46.9110686,"921 AHLERS ROAD, ROYAL CITY, WA"
-117.4135201,47.6490617,"W 101 8TH AVE, SPOKANE, WA"
-119.2079985,46.1744727,"6411 W 38TH AVE, KENNEWICK, WA"
-122.7573599,47.081183,"8605 CAMPUS GLEN DR NE, LACEY, WA"
-122.847251,47.4585299,"NE 791 SAND HILL RD., BELFAIR, WA"
-123.4834945,47.0031512,"BOX 96, SATSOP, WA"
-122.2995153,47.4717614,"2400 S 240TH ST (MAIL 14616 26TH LN S SEATAC WA 98168-4200), DES MOINES, WA"
-117.3984499,48.8186647,"10372 HIGHWAY 31, IONE, WA"
-122.204313,47.881457,"12815 BOTHELL WAY, EVERETT, WA"
-122.3519907,47.3105412,"1310 SW 325TH ST, FEDERAL WAY, WA"
-122.6031928,48.8622813,"2225 THORNTON RD, FERNDALE, WA"
-121.9871821,47.849148,"200 ACADEMY WAY, SNOHOMISH, WA"
-121.8283796,47.5286299,"P.O. BOX 400, SNOQUALMIE, WA"
-121.8141961,47.5254508,"755 PARK ST, SNOQUALMIE, WA"
-119.4908026,47.3838677,"PO BOX 908, SOAP LAKE, WA"
-119.490591,47.389307,"PO BOX 878, SOAP LAKE, WA"
-120.3358216,47.4211478,"112 SO. ELLIOTT STREET, WENATCHEE, WA"
-117.9755065,47.3001584,"PO BOX 305, SPRAGUE, WA"
-117.9755065,47.3001584,"P.O. BOX 305, SPRAGUE, WA"
-122.3203451,47.6940346,"113045 8TH AVE NE, SEATTLE, WA"
-122.4230447,48.7843369,"3773 E MCLEOD RD, BELLINGHAM, WA"
-118.6414436,47.1527367,"33 E SNOWDEN RD, ODESSA, WA"
-120.5837657,46.5676711,"901 W WHITMAN ST, YAKIMA, WA"
-118.1224169,46.5182356,"717 TUCANNON ST, STARBUCK, WA"
-119.2751996,46.28042,"P. O. BOX 1482, RICHLAND, WA"
-120.6564879,48.3093032,"PO BOX 37, STEHEKIN, WA"
-122.3223546,47.6772225,"520 NE RAVENNA BLVD, EDMONDS, WA"
-117.3559883,47.0058714,"PO BOX 138, STEPTOE, WA"
-121.8845241,45.6956723,"P.O. BOX 850, STEVENSON, WA"
-119.7573969,46.209611,"1904 HIGHLAND DR (MAIL: 2001 PATERSON RD PROSSER WA 99350-1596), PROSSER, WA"
-117.5859078,47.0878907,"W 301 NOB HILL, SAINT JOHN, WA"
-122.0430268,47.5293057,"200 MOUNTAIN PARK BLVD, ISSAQUAH, WA"
-122.7842772,48.0332977,"111 SUNFIELD LN, PORT HADLOCK, WA"
-122.0149863,47.1858408,"899 OSCEOLA AT 244TH AVE SE, ENUMCLAW, WA"
-122.1024491,47.569099,"4229 W LAKE SAMM PKWY SE, BELLEVUE, WA"
-120.9931393,47.2234523,"P.O. BOX 906, ROSLYN, WA"
-124.29324,47.3473047,"PO BOX 249, TAHOLAH, WA"
-117.070873,47.2247271,"200 N BROADWAY, TEKOA, WA"
-117.0727236,47.2230028,"513 E HENKLE, TEKOA, WA"
-120.675262,47.069245,"PO BOX 150, THORP, WA"
-120.7559896,46.7046927,"PO BOX 6, TIETON, WA"
-121.8816735,47.5246888,"34412 SE SWENSON DR, SNOQUALMIE, WA"
-122.846783,46.4398305,"PO BOX 549, TOLEDO, WA"
-122.846783,46.4398305,"PO BOX 820, TOLEDO, WA"
-122.846783,46.4398305,"PO BOX 668, TOLEDO, WA"
-118.6722078,46.0398567,"PO BOX 135, TOUCHET, WA"
-123.2973663,46.5703798,"P.O. BOX 368, PE ELL, WA"
-121.5156555,45.9888518,"PO BOX 488, TROUT LAKE, WA"
-120.4788223,46.5555934,"3200 S. 2ND STREET, UNION GAP, WA"
-122.1752645,47.1307391,"13802 CANYON FALLS BLVD., BONNEY LAKE, WA"
-122.5910056,48.8464991,"P.O. BOX 1328, FERNDALE, WA"
-119.897128,46.7409257,"PO BOX 907, MATTAWA, WA"
-118.1540366,46.2668802,"184 ACADEMY, WAITSBURG, WA"
-123.0308421,48.7077564,"1 SCHOOL ROAD, WALDRON ISLAND, WA"
-122.1236923,47.6710001,"PO BOX 97039, REDMOND, WA"
-118.3105282,46.7565354,"P.O. BOX 688, WASHTUCNA, WA"
-120.0711788,47.6470761,"PO BOX 490, WATERVILLE, WA"
-117.9882851,47.8980905,"PO BOX 390, WELLPINIT, WA"
-117.2846784,47.6602147,"8920 E VALLEYWAY, SPOKANE, WA"
-121.9572497,46.535335,"PO BOX 188, RANDLE, WA"
-118.7052897,47.7533438,"PO BOX 1090, WILBUR, WA"
-123.6486106,46.6234482,"PO BOX 128, MENLO, WA"
-119.1215912,47.4255171,"PO BOX 46, WILSON CREEK, WA"
-119.1215912,47.4255171,"P.O. BOX 46, WILSON CREEK, WA"
-122.541599,48.832254,"5275 NORTHWEST AVE, FERNDALE, WA"
-122.161063,47.7712405,"19819 136 NE, WOODINVILLE, WA"
-122.1767235,47.7419524,"12225 NE 160, BOTHELL, WA"
-122.2050235,47.84328,"17000 23RD AVE. SE, EVERETT, WA"
