"datetime","state","location","aqi"
2019-06-16 16:00:06,"Washington","Cascade foothills of east King-Pierce counties","27"
2019-06-16 16:00:06,"Washington","Cheeka Peak","20"
2019-06-16 16:00:06,"Washington","Chehalis","13"
2019-06-16 16:00:06,"Washington","Chelan","21"
2019-06-16 16:00:06,"Washington","Clarkston","25"
2019-06-16 16:00:06,"Washington","Colville","15"
2019-06-16 16:00:06,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 16:00:06,"Washington","Confederated Tribes & Bands of Yakama Nations","18"
2019-06-16 16:00:06,"Washington","Darrington","10"
2019-06-16 16:00:06,"Washington","Ellensburg","13"
2019-06-16 16:00:06,"Washington","Everett-Marysville-Lynnwood","37"
2019-06-16 16:00:06,"Washington","Inchelium",""
2019-06-16 16:00:06,"Washington","Kennewick","50"
2019-06-16 16:00:06,"Washington","Leavenworth","18"
2019-06-16 16:00:06,"Washington","Longview","10"
2019-06-16 16:00:06,"Washington","Makah Indian Tribe of Makah Indian Reservation","10"
2019-06-16 16:00:06,"Washington","Maple Falls","9"
2019-06-16 16:00:06,"Washington","Moses Lake","22"
2019-06-16 16:00:06,"Washington","Mount Vernon","4"
2019-06-16 16:00:06,"Washington","Mt. Rainier",""
2019-06-16 16:00:06,"Washington","Naches",""
2019-06-16 16:00:06,"Washington","Nespelem",""
2019-06-16 16:00:06,"Washington","Oak Harbor","5"
2019-06-16 16:00:06,"Washington","Olympia-Lacey-Tumwater","22"
2019-06-16 16:00:06,"Washington","Omak","15"
2019-06-16 16:00:06,"Washington","Port Angeles","13"
2019-06-16 16:00:06,"Washington","Port Townsend","12"
2019-06-16 16:00:06,"Washington","Pullman","13"
2019-06-16 16:00:06,"Washington","Raymond","8"
2019-06-16 16:00:06,"Washington","Seattle-Bellevue-Kent Valley","40"
2019-06-16 16:00:06,"Washington","Shelton","28"
2019-06-16 16:00:06,"Washington","Spokane","49"
2019-06-16 16:00:06,"Washington","Spokane Tribe of Spokane Reservation","17"
2019-06-16 16:00:06,"Washington","Sunnyside","25"
2019-06-16 16:00:06,"Washington","Tacoma-Puyallup","35"
2019-06-16 16:00:06,"Washington","Twisp","19"
2019-06-16 16:00:06,"Washington","Vancouver","26"
2019-06-16 16:00:06,"Washington","Walla Walla","16"
2019-06-16 16:00:06,"Washington","Wenatchee","23"
2019-06-16 16:00:06,"Washington","Winthrop","16"
2019-06-16 16:00:06,"Washington","Yacolt","13"
2019-06-16 16:00:06,"Washington","Yakima","6"
2019-06-16 17:00:04,"Washington","Aberdeen","7"
2019-06-16 17:00:04,"Washington","Anacortes","19"
2019-06-16 17:00:04,"Washington","Bellingham","35"
2019-06-16 17:00:04,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 17:00:04,"Washington","Cascade foothills of King County","35"
2019-06-16 17:00:04,"Washington","Cascade foothills of east King-Pierce counties","31"
2019-06-16 17:00:04,"Washington","Cheeka Peak","19"
2019-06-16 17:00:04,"Washington","Chehalis","13"
2019-06-16 17:00:04,"Washington","Chelan","21"
2019-06-16 17:00:04,"Washington","Clarkston","23"
2019-06-16 17:00:04,"Washington","Colville","14"
2019-06-16 17:00:04,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 17:00:04,"Washington","Confederated Tribes & Bands of Yakama Nations","18"
2019-06-16 17:00:04,"Washington","Darrington","15"
2019-06-16 17:00:04,"Washington","Ellensburg","13"
2019-06-16 17:00:04,"Washington","Everett-Marysville-Lynnwood","43"
2019-06-16 17:00:04,"Washington","Inchelium",""
2019-06-16 17:00:04,"Washington","Kennewick","54"
2019-06-16 17:00:04,"Washington","Leavenworth","18"
2019-06-16 17:00:04,"Washington","Longview","10"
2019-06-16 17:00:04,"Washington","Makah Indian Tribe of Makah Indian Reservation","9"
2019-06-16 17:00:04,"Washington","Maple Falls","9"
2019-06-16 17:00:04,"Washington","Moses Lake","21"
2019-06-16 17:00:04,"Washington","Mount Vernon","6"
2019-06-16 17:00:04,"Washington","Mt. Rainier",""
2019-06-16 17:00:04,"Washington","Naches",""
2019-06-16 17:00:04,"Washington","Nespelem",""
2019-06-16 17:00:04,"Washington","Oak Harbor","5"
2019-06-16 17:00:04,"Washington","Olympia-Lacey-Tumwater","21"
2019-06-16 17:00:04,"Washington","Omak","16"
2019-06-16 17:00:04,"Washington","Port Angeles","13"
2019-06-16 17:00:04,"Washington","Port Townsend","12"
