"station.ID","station.name","type","url"
"33A050","Snake R nr Pasco","Long-term","../station.asp?sta=33A050"
"34A070","Palouse R @ Hooper","Long-term","../station.asp?sta=34A070"
"34A170","Palouse R @ Palouse","Long-term","../station.asp?sta=34A170"
"34A200","Palouse R nr Stateline","Basin","../station.asp?sta=34A200"
"34B110","SF Palouse R @ Pullman","Long-term","../station.asp?sta=34B110"
"35A150","Snake R @ Interstate Br","Long-term","../station.asp?sta=35A150"
"35B060","Tucannon R @ Powers","Long-term","../station.asp?sta=35B060"
"35D070","Asotin Cr @ 2nd Street","Basin","../station.asp?sta=35D070"
"35D120","NF Asotin Cr blw Lick Cr","Basin","../station.asp?sta=35D120"
"35F050","Pataha Cr near mouth","Basin","../station.asp?sta=35F050"
"36A070","Columbia R nr Vernita","Long-term","../station.asp?sta=36A070"
"37A090","Yakima R @ Kiona","Long-term","../station.asp?sta=37A090"
"37A100","Yakima R below Prosser","Basin","../station.asp?sta=37A100"
"37A190","Yakima R @ Parker","Basin","../station.asp?sta=37A190"
"37A205","Yakima R @ Nob Hill","Long-term","../station.asp?sta=37A205"
"37E070","Wide Hollow Cr @ Union Gap","Basin","../station.asp?sta=37E070"
"37E100","Wide Hollow Cr @ 40th Ave","Basin","../station.asp?sta=37E100"
"37F080","Sulphur Cr @ Holaday Road","Basin","../station.asp?sta=37F080"
"37G050","Ahtanum Cr @ Fulbright Park","Basin","../station.asp?sta=37G050"
"37J060","Snipes Cr nr Mouth","Basin","../station.asp?sta=37J060"
"38A050","Naches R @ Yakima on US HWY 97","Long-term","../station.asp?sta=38A050"
"39A050","Yakima R @ Harrison Bridge","Basin","../station.asp?sta=39A050"
"39A055","Yakima R @ Umtanum Cr Footbridge","Long-term","../station.asp?sta=39A055"
"39A090","Yakima R nr Cle Elum","Long-term","../station.asp?sta=39A090"
"39B090","Cle Elum R nr Roslyn","Basin","../station.asp?sta=39B090"
"39C150","WilsonCr@Sanders Rd","Basin","../station.asp?sta=39C150"
"39K060","Reecer Cr in Irene Rinehart Park","Basin","../station.asp?sta=39K060"
"39M050","Swauk Cr nr Cle Elum","Basin","../station.asp?sta=39M050"
"39M100","Swauk Cr @ Lauderdale Junction","Basin","../station.asp?sta=39M100"
"39R050","Umtanum Cr nr mouth","Basin","../station.asp?sta=39R050"
"41A070","Crab Cr nr Beverly","Long-term","../station.asp?sta=41A070"
"41E070","Sand Hollow Cr on Hwy 26","Basin","../station.asp?sta=41E070"
"43A070","Crab Cr @ Irby","Basin","../station.asp?sta=43A070"
"45A070","Wenatchee R @ Wenatchee","Long-term","../station.asp?sta=45A070"
"45A110","Wenatchee R nr Leavenworth","Long-term","../station.asp?sta=45A110"
"45J070","Nason Cr nr mouth","Basin","../station.asp?sta=45J070"
"45K050","White R @ Road 6500 Bridge","Basin","../station.asp?sta=45K050"
"45L050","Little Wenatchee R @ 2 Rvr Grav Pit","Basin","../station.asp?sta=45L050"
"46A070","Entiat R nr Entiat","Long-term","../station.asp?sta=46A070"
"48A070","Methow R nr Pateros","Long-term","../station.asp?sta=48A070"
"48A075","Methow R nr Pateros @ Metal Br","Long-term","../station.asp?sta=48A075"
"48A140","Methow R @ Twisp","Long-term","../station.asp?sta=48A140"
"48A150","Methow R @ Winthrop","Basin","../station.asp?sta=48A150"
"48B070","Chewuch R @ Winthrop","Basin","../station.asp?sta=48B070"
"48D070","Twisp R nr Mouth","Basin","../station.asp?sta=48D070"
"48E070","Poorman Creek at Poorman Cutoff Rd","Basin","../station.asp?sta=48E070"
"49A070","Okanogan R @ Malott","Long-term","../station.asp?sta=49A070"
"49A190","Okanogan R @ Oroville","Long-term","../station.asp?sta=49A190"
"49B070","Similkameen R @ Oroville","Long-term","../station.asp?sta=49B070"
"53A070","Columbia R @ Grand Coulee","Long-term","../station.asp?sta=53A070"
"53C070","Hawk Cr @ Miles-Creston Rd","Basin","../station.asp?sta=53C070"
"54A070","Spokane R @ Long Lake","Basin","../station.asp?sta=54A070"
"54A090","Spokane R @ Ninemile Br","Basin","../station.asp?sta=54A090"
"54A120","Spokane R @ Riverside State Pk","Long-term","../station.asp?sta=54A120"
"54A130","Spokane R @ Fort Wright Br","Basin","../station.asp?sta=54A130"
"54B100","Deep Creek @  Garfield Rd Bridge","Basin","../station.asp?sta=54B100"
"54C050","Coulee Creek @ N Brooks RD","Basin","../station.asp?sta=54C050"
"55B070","Little Spokane R nr Mouth","Long-term","../station.asp?sta=55B070"
"56A070","Hangman Cr @ Mouth","Long-term","../station.asp?sta=56A070"
"57A123","Spokane R @ Sandifer Bridge","Basin","../station.asp?sta=57A123"
"57A125","Spokane R blw Monroe Street","Basin","../station.asp?sta=57A125"
"57A140","Spokane R @ Plante's Ferry Park","Basin","../station.asp?sta=57A140"
"57A146","Spokane R @ Sullivan Rd","Basin","../station.asp?sta=57A146"
"57A148","Spokane R @ Barker Rd","Basin","../station.asp?sta=57A148"
"57A150","Spokane R @ Stateline Br","Long-term","../station.asp?sta=57A150"
