"ID","STATION","STATION NAME","OVERALLWQI 2013","WQIFC","WQIOXY","WQIPH","WQITSS","WQITEMP","WQITPN","WQITP","WQITURB","CORE","CAT","Location 1","Counties","lon","lat"
51,"35A150","Snake R @ Interstate Br",74,91,80,81,77,61,81,75,78,"C",2,"POINT (-117.0357 46.4207)",1769,-117.0357,46.4207
52,"35B060","Tucannon R @ Powers",68,83,87,54,72,62,96,72,76,"C",3,"POINT (-118.1555 46.5376)",940,-118.1555,46.5376
53,"35D070","Asotin Cr @ 2nd Street",72,71,85,72,87,61,89,73,84,"B",2,"POINT (-117.056 46.3404)",2954,-117.056,46.3404
54,"35D120","NF Asotin Cr blw Lick Cr",71,86,72,88,91,49,98,75,88,"S",2,"POINT (-117.2944 46.2694)",2954,-117.2944,46.2694
55,"36A070","Columbia R nr Vernita",84,97,92,88,99,64,98,94,96,"C",1,"POINT (-119.7325 46.64)",2955,-119.7325,46.64
56,"37A090","Yakima R @ Kiona",57,85,93,68,55,58,80,64,60,"C",3,"POINT (-119.4753 46.2529)",2955,-119.4753,46.2529
57,"37A205","Yakima R @ Nob Hill",82,85,91,77,73,85,97,79,69,"C",1,"POINT (-120.4617 46.5815)",2746,-120.4617,46.5815
58,"38A050","Naches R @ Yakima on US HWY 97",68,78,90,64,71,69,98,83,67,"C",3,"POINT (-120.5156 46.6298)",2746,-120.5156,46.6298
59,"39A055","Yakima R @ Umtanum Cr Footbridge",83,81,90,86,77,78,94,75,77,"C",1,"POINT (-120.484 46.8555)",3194,-120.484,46.8555
60,"39A090","Yakima R nr Cle Elum",74,90,70,92,71,68,94,82,64,"C",2,"POINT (-121.0445 47.1857)",3194,-121.0445,47.1857
61,"39F050","Wenas Cr nr Selah",58,56,54,82,80,64,88,60,79,"B",3,"POINT (-120.5087 46.7078)",2746,-120.5087,46.7078
62,"39K060","Reecer Cr in Irene Rinehart Park",79,72,92,87,80,80,91,68,77,"B",2,"POINT (-120.5725 46.9903)",3194,-120.5725,46.9903
63,"39R050","Umtanum Cr nr mouth",85,86,88,83,95,71,98,68,93,"S",1,"POINT (-120.4857 46.8554)",3194,-120.4857,46.8554
64,"41A070","Crab Cr nr Beverly",40,79,95,73,53,41,57,66,57,"C",4,"POINT (-119.8162 46.8313)",2982,-119.8162,46.8313
65,"41E070","Sand Hollow Cr on Hwy 26",49,79,81,71,51,56,11,73,68,"B",3,"POINT (-119.9517 46.9293)",2982,-119.9517,46.9293
66,"45A070","Wenatchee R @ Wenatchee",81,87,92,78,82,70,98,92,86,"C",1,"POINT (-120.3365 47.4588)",2956,-120.3365,47.4588
