bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
2,1,3,0,0,23,5,16,5,1
2,1,4,0,0,29,6,21,5,1
2,1,5,0,0,38,10,30,6,1
2,1,6,0,0,46,9,35,8,1
2,1,7,0,0,48,14,36,19,4
2,1,8,0,0,49,14,43,23,4
2,1,9,0,0,51,13,45,24,5
2,1,10,0,0,45,13,40,25,4
2,1,11,0,0,46,14,39,31,5
2,1,12,0,0,51,14,45,28,3
2,1,13,0,0,54,15,46,26,1
2,1,14,0,0,58,15,50,24,1
2,1,15,0,0,50,9,40,16,5
2,1,16,0,0,39,10,21,10,4
2,1,17,0,0,24,5,15,8,1
2,1,18,0,0,18,11,8,5,1
2,1,19,0,0,15,8,10,5,1
2,1,20,0,0,15,6,14,5,1
2,1,21,0,0,11,6,9,5,1
2,1,22,0,0,10,5,8,5,1
2,1,23,0,0,15,5,10,5,1
2,2,0,0,0,11,5,8,5,1
2,2,1,0,0,13,5,9,5,1
2,2,2,0,0,24,5,14,5,1
2,2,3,0,0,29,5,19,5,1
2,2,4,0,0,35,6,26,5,1
2,2,5,0,0,46,9,34,9,3
2,2,6,0,0,51,10,38,13,5
2,2,7,0,0,51,15,39,15,5
2,2,8,0,0,51,14,41,15,4
2,2,9,0,0,54,14,44,15,3
2,2,10,0,0,51,13,41,16,3
2,2,11,0,0,46,11,36,14,3
2,2,12,0,0,50,11,40,16,3
2,2,13,0,0,48,11,36,14,3
2,2,14,0,0,51,16,35,13,3
2,2,15,0,0,34,13,26,8,3
2,2,16,0,0,25,13,16,5,1
2,2,17,0,0,21,9,13,5,1
2,2,18,0,0,19,8,13,5,1
2,2,19,0,0,16,6,14,5,1
2,2,20,0,0,16,6,11,5,1
2,2,21,0,0,11,6,8,5,1
2,2,22,0,0,11,5,6,5,0
2,2,23,0,0,10,5,6,5,0
2,3,0,0,0,13,5,9,5,0
2,3,1,0,0,13,5,8,5,0
2,3,2,0,0,15,5,10,5,0
2,3,3,0,0,24,5,18,5,0
2,3,4,0,0,38,6,28,5,0
2,3,5,0,0,46,8,34,6,0
2,3,6,0,0,50,9,36,11,0
2,3,7,0,0,55,11,43,15,6
2,3,8,0,0,53,13,43,20,9
2,3,9,0,0,50,10,41,20,6
2,3,10,0,0,44,14,36,20,10
2,3,11,0,0,44,11,35,20,5
2,3,12,0,0,41,13,34,19,5
2,3,13,0,0,40,11,33,15,3
2,3,14,0,0,43,11,35,13,3
2,3,15,0,0,28,5,25,10,0
2,3,16,0,0,22,5,15,5,0
2,3,17,0,0,17,5,10,5,0
2,3,18,0,0,14,5,6,5,0
2,3,19,0,0,16,5,9,5,0
2,3,20,0,0,13,5,6,5,0
2,3,21,0,0,10,5,5,5,0
2,3,22,0,0,9,5,5,5,0
2,3,23,0,0,13,5,8,5,0
2,4,0,0,0,14,5,9,5,0
2,4,1,0,0,11,8,9,5,0
2,4,2,0,0,20,5,13,4,0
2,4,3,0,0,30,5,19,5,0
2,4,4,0,0,40,13,20,5,0
2,4,5,0,0,51,9,39,8,0
2,4,6,0,0,56,11,41,11,0
2,4,7,0,0,59,13,44,13,9
2,4,8,0,0,51,13,43,13,9
2,4,9,0,0,46,10,38,10,6
2,4,10,0,0,39,10,29,11,8
2,4,11,0,0,33,8,25,11,8
2,4,12,0,0,31,8,23,10,6
2,4,13,0,0,30,11,20,10,6
2,4,14,0,0,35,10,24,11,6
2,4,15,0,0,19,6,16,10,5
2,4,16,0,0,15,6,10,8,5
2,4,17,0,0,14,6,13,8,5
2,4,18,0,0,14,5,11,8,5
2,4,19,0,0,15,6,11,5,5
2,4,20,0,0,13,5,10,5,5
2,4,21,0,0,9,5,9,5,5
2,4,22,0,0,10,5,10,5,5
2,4,23,0,0,31,10,21,5,3
2,5,0,0,0,11,5,8,5,3
2,5,1,0,0,11,5,8,5,3
2,5,2,0,0,12,5,8,5,2
2,5,3,0,0,11,5,7,5,3
2,5,4,0,0,25,5,16,5,2
2,5,5,0,0,27,5,21,5,4
2,5,6,0,0,35,5,26,5,4
2,5,7,0,0,35,5,23,5,4
2,5,8,0,0,35,7,24,8,5
2,5,9,0,0,31,8,23,10,6
2,5,10,0,0,32,7,23,10,4
2,5,11,0,0,33,10,24,8,4
2,5,12,0,0,38,12,27,9,4
2,5,13,0,0,44,15,32,9,4
2,5,14,0,0,48,15,37,9,4
2,5,15,0,0,53,11,45,9,4
2,5,16,0,0,56,21,47,9,3
2,5,17,0,0,65,9,44,8,3
2,5,18,0,0,67,11,37,7,3
2,5,19,0,0,68,11,46,7,3
2,5,20,0,0,65,11,43,10,3
2,5,21,0,0,59,10,41,9,3
2,5,22,0,0,55,10,36,5,4
2,5,23,0,0,55,9,29,5,4
2,6,0,0,0,30,10,24,5,4
2,6,1,0,0,28,8,20,5,4
2,6,2,0,0,34,8,16,5,4
2,6,3,0,0,28,11,16,5,5
2,6,4,0,0,11,5,9,5,5
2,6,5,0,0,13,5,9,5,5
2,6,6,0,0,15,5,10,5,5
2,6,7,0,0,18,5,11,5,5
2,6,8,0,0,21,5,15,5,5
2,6,9,0,0,23,8,16,8,8
2,6,10,0,0,26,8,20,11,11
