fac_name,fac_title,fac_degree
"Ramirez, Magaly",Assistant Professor,
"Rao, Darcy",Acting Assistant Professor,"PhD, MPH"
"Rao, Deepa",Professor,"PhD, MA"
"Reiner, Alexander",Research Professor,"MD, MSc"
"Rice, Kenneth",Professor,PhD
"Richardson, Barbra Ann",Research Professor,"PhD, MS"
"Roberts, Marilyn",Professor,"PhD, MS"
"Ronen, Keshet",Acting Assistant Professor,PhD
"Ross, Jennifer",Acting Assistant Professor,
"Rowhani-Rahbar, Ali",Associate Professor,"PhD, MD, MPH"
"Roxby, Alison",Associate Professor,"MD, MSc"
"Sack, Coralynn",Assistant Professor,
"Sadinle, Mauricio",Assistant Professor,PhD
"Salmon, Marla",Professor,"MS, ScD"
"Sanford, Christopher",Associate Professor,"MPH, MD"
"Schwartz, Stephen",Professor,"PhD, MPH"
"Sconyers, Jeff",Associate Teaching Professor,JD
"Sears, Jeanne",Research Associate Professor,"PhD, MS, BA"
"Seto, Edmund Y. W.",Associate Professor,"MS, PhD"
"Shapiro, Adrienne",Acting Assistant Professor,
"Sharma, Monisha",Acting Assistant Professor,
"Sheppard, Lianne",Professor,"PhD, MSc"
"Sherr, Kenneth",Professor,"PhD, MPH"
"Shojaie, Ali",Professor,"PhD, MS, MS, MS, MSc"
"Simcox, Nancy",Assistant Teaching Professor,
"Simon, Noah",Associate Professor,PhD
"Simpson, Christopher",Professor,"PhD, MSc"
"Sipos, Yona",Assistant Teaching Professor,
"Slyker, Jennifer",Associate Professor,"PhD, MSc"
"Smith, Nicholas",Professor,"PhD, MPH"
"Soge, Olusegun",Assistant Professor,"PhD, MSc"
"Spector, June",Associate Professor,MD
"Spice, Carolin",Associate Teaching Professor,
"Spigner, Clarence",Professor,MPH
"Spiker, Marie",Assistant Professor,
"Stanaway, Jeffrey",Assistant Professor,"PhD, MPH"
"Stergachis, Andy",Professor,"PhD, MS"
"Stewart, Jenell",Acting Assistant Professor,
"Stillman, Dennis",Associate Teaching Professor,MHA
